"";"distance";"moving_time";"start_date";"gear_id";"type"
"121";29349;5854;2020-10-04 12:13:54;"b5957471";"Ride"
"122";475985;6129;2020-10-02 07:36:01;"b6734226";"Ride"
"123";216547;3026;2020-10-01 14:22:16;"b6734226";"VirtualRide"
"124";487588;6258;2020-09-29 14:13:51;"b6734226";"Ride"
"125";360378;4258;2020-09-27 11:40:45;"b6734226";"Ride"
"126";400069;5307;2020-09-25 07:27:08;"b6734226";"Ride"
"127";369185;4682;2020-09-23 16:27:28;"b6734226";"Ride"
"128";346977;4249;2020-09-22 16:33:03;"b6734226";"Ride"
"129";736681;12008;2020-09-20 07:58:44;"b6734226";"Ride"
"130";54447;3977;2020-09-19 11:34:36;NA;"Walk"
"131";571738;7415;2020-09-18 07:05:41;"b6734226";"Ride"
"132";379946;4885;2020-09-15 16:40:16;"b6734226";"Ride"
"133";101162;19245;2020-09-13 07:28:48;"b5957471";"Ride"
"134";388643;5138;2020-09-11 07:44:22;"b6734226";"Ride"
"135";390765;4875;2020-09-10 16:35:45;"b6734226";"Ride"
"136";221724;4102;2020-09-07 16:52:26;"b5957471";"Ride"
"137";750159;9829;2020-09-06 07:44:01;"b6734226";"Ride"
"138";441679;5612;2020-09-04 07:27:42;"b6734226";"Ride"
"139";393462;5072;2020-09-02 14:26:53;"b6734226";"Ride"
"140";326607;3986;2020-08-31 17:10:13;"b6734226";"Ride"
"141";35291;6574;2020-08-30 08:13:26;"b5957471";"Ride"
"142";615335;7505;2020-08-29 07:31:22;"b6734226";"Ride"
"143";458829;5675;2020-08-27 16:32:20;"b6734226";"Ride"
"144";461475;5795;2020-08-25 16:32:50;"b6734226";"Ride"
"145";418486;5103;2020-08-23 17:13:08;"b6734226";"Ride"
"146";952611;14744;2020-08-20 06:16:25;"b6734226";"Ride"
"147";731353;11667;2020-08-19 06:53:26;"b6734226";"Ride"
"148";103547;18074;2020-08-18 06:06:37;"b6734226";"Ride"
"149";881609;14079;2020-08-17 06:48:56;"b6734226";"Ride"
"150";42207;8650;2020-08-14 08:18:27;"b5957471";"Ride"
"151";831656;16009;2020-08-11 07:03:32;"b5957471";"Ride"
"152";111246;20742;2020-08-10 07:11:36;"b5957471";"Ride"
"153";736842;11945;2020-08-08 06:37:16;"b6734226";"Ride"
"154";286232;3607;2020-08-06 17:43:36;"b6734226";"Ride"
"155";102771;13964;2020-08-04 07:34:18;"b6734226";"Ride"
"156";212546;3417;2020-08-03 12:16:58;"b5957471";"Ride"
"157";757082;13215;2020-07-30 06:41:53;"b6734226";"Ride"
"158";11502;21765;2020-07-28 06:27:13;"b6734226";"Ride"
"159";507773;7311;2020-07-26 11:57:58;"b6734226";"Ride"
"160";18313;4602;2020-07-24 16:49:21;"b5957471";"Ride"
"161";801419;14115;2020-07-23 07:54:06;"b6734226";"Ride"
"162";35935;5705;2020-07-21 17:06:32;"b6734226";"Ride"
"163";686228;12679;2020-07-20 08:13:06;"b6734226";"Ride"
"164";326877;6063;2020-07-18 16:44:44;"b6734226";"Ride"
"165";850376;14971;2020-07-14 07:51:27;"b5957471";"Ride"
"166";464266;6735;2020-07-13 13:38:24;"b5957471";"Ride"
"167";392482;6637;2020-07-12 12:42:14;"b5957471";"Ride"
"168";528573;6814;2020-07-11 08:05:42;"b6734226";"Ride"
"169";447512;5716;2020-07-09 13:17:33;"b6734226";"Ride"
"170";483126;5968;2020-07-07 08:24:17;"b6734226";"Ride"
"171";351024;5543;2020-07-04 13:16:20;"b6734226";"Ride"
"172";105226;13842;2020-07-03 10:30:13;"b6734226";"Ride"
"173";241055;3843;2020-07-01 17:24:33;"b5957471";"Ride"
"174";241847;3269;2020-06-30 17:25:18;"b6734226";"VirtualRide"
"175";388113;7395;2020-06-28 08:38:04;"b6734226";"Ride"
"176";100968;18400;2020-06-27 08:40:53;"b6734226";"Ride"
"177";100122;17477;2020-06-26 08:01:37;"b6734226";"Ride"
"178";505393;6777;2020-06-24 16:43:14;"b6734226";"Ride"
"179";344624;4226;2020-06-22 14:07:42;"b6734226";"Ride"
"180";25528;3922;2020-06-20 09:05:42;"b6734226";"Ride"
"181";45494;5685;2020-06-17 11:57:06;"b6734226";"Ride"
"182";303108;3578;2020-06-16 13:27:55;"b6734226";"Ride"
"183";131878;16928;2020-06-14 07:31:53;"b6734226";"Ride"
"184";416537;5191;2020-06-11 17:09:33;"b6734226";"Ride"
"185";50802;7170;2020-06-09 12:28:45;"b6734226";"Ride"
"186";224518;3020;2020-06-08 17:52:57;"b6734226";"VirtualRide"
"187";657563;8571;2020-06-07 11:54:48;"b6734226";"Ride"
"188";562515;6785;2020-06-03 17:13:37;"b6734226";"Ride"
"189";86047;13604;2020-06-01 07:52:46;"b6734226";"Ride"
"190";584323;11705;2020-05-31 07:21:45;"b5957471";"Ride"
"191";458331;7342;2020-05-30 10:55:58;"b6734226";"Ride"
"192";419926;5908;2020-05-28 16:55:23;"b6734226";"Ride"
"193";419568;5262;2020-05-26 16:44:22;"b6734226";"Ride"
"194";535807;6701;2020-05-25 17:01:45;"b6734226";"Ride"
"195";339315;4454;2020-05-24 17:49:38;"b6734226";"Ride"
